sample,fastq_1,fastq_2,strandedness,type
RIBO10,/mnt/d/Ibnu/riboseq/AT/FASTQ/riboseq.10pct.fastq.gz,,auto,riboseq
RNA10,/mnt/d/Ibnu/riboseq/AT/FASTQ/rnaseq.10pct.fastq.gz,,auto,rnaseq
