sample,fastq_1,fastq_2,strandedness,type
RIBO,/mnt/d/Ibnu/riboseq/AT/FASTQ/SRR25120039_riboseq.fastq.gz,,auto,riboseq
RNA,/mnt/d/Ibnu/riboseq/AT/FASTQ/SRR25120043_rnaseq.fastq.gz,,auto,rnaseq
